,uniprot_id,y_true,y_pred,Tm,prediction
20,5LUK_A,0.564249992,0.56850642,67.70999908,68.22077036
19,AAZ54920.1,0.575166643,0.567618728,69.01999712,68.11424732
2,ADM47605.1,0.5464167,0.557117939,65.57000399,66.85415268
0,ADV92528.1,0.590500057,0.559049368,70.86000681,67.08592415
18,ALF04778.1,0.5985834,0.549806714,71.83000803,65.97680569
13,BAT-1,0.59950006,0.541851044,71.94000721,65.02212524
9,CAH17554.1,0.569583356,0.571019053,68.35000277,68.52228642
8,CBY05529.1,0.582750022,0.551534176,69.93000269,66.1841011
22,CDN67547.1,0.583000004,0.552192867,69.96000051,66.26314402
23,DRAFT_401410,0.626083314,0.610741317,75.12999773,73.28895807
4,JAN11_10009658,0.771416724,0.64421016,92.57000685,77.30521917
6,WP_012851645.1,0.559833348,0.539992869,67.18000174,64.79914427
5,WP_062195544.1,0.560416698,0.569966257,67.25000381,68.39595079
1,WP_068752972.1,0.467083365,0.552285552,56.05000377,66.27426624
10,WP_078759821.1,0.449166715,0.596152365,53.90000582,71.53828382
17,WP_083947829.1,0.451333344,0.562337637,54.16000128,67.48051643
14,WP_093412886.1,0.635083377,0.503620088,76.21000528,60.43441057
11,WP_104613137.1,0.585666716,0.562312305,70.28000593,67.4774766
21,WP_117215036.1,0.568333328,0.582685769,68.19999933,69.92229223
12,YNP6_02150,0.549666703,0.4910945,65.96000433,58.93133998
